Tom wandelt snel. 	 Tom walks quickly.
Een aardbeving verwoestte het gebouw. 	 An earthquake destroyed the building.
Ik werd zwanger. 	 I got pregnant.
Tom loopt. 	 Tom is walking.
Er is een bloemenwinkel in de buurt. 	 There is a flower shop near by.
Het avondeten is meestal niet voor zes uur klaar. 	 Dinner is usually not ready until six o'clock.
Venus is een planeet. 	 Venus is a planet.
De stad wil de weg verlengen. 	 The city wants to extend the road.
Ik was diep onder de indruk van de omgeving. 	 I was deeply impressed by the scenery.
Je moet je voorbereiden op de toekomst. 	 You should prepare for the future.
Nu Tom zonder werk zit, heeft hij behoorlijk wat vrije tijd. 	 Now that Tom is unemployed, he has quite a bit of free time.
Ik denk dat Tom de zoon van Mary is. 	 I think that Tom is Mary's son.
Het is ons gebruik om onze schoenen uit te doen voor we het huis binnengaan. 	 It is our custom to take off our shoes when we enter the house.
Waar is de brievenbus? 	 Where is the mailbox?
De trein bewoog zich voort met 500 mijl per uur. 	 The train was moving at 500 miles per hour.
Laten we onze overwinning vieren. 	 Let's celebrate our victory.
Ik weet niet hoe ik het deed. Wat belangrijk is, is dát ik het deed. 	 I don't know how I did it. What's important is that I did it.
Hij ziet er goed uit voor zijn leeftijd. 	 He looks good for his age.
We kunnen niet alles hebben. 	 We can't have it all.
Tom vertelde me dat hij allergisch was voor aardbeien. 	 Tom told me he was allergic to strawberries.
Mijn moeder kookt goed. 	 My mother cooks well.
Maleisië is ontstaan ​​in 1957. 	 Malaysia came into existence in 1957.
Deze blauwe rugzak is zwaar. 	 This blue backpack is heavy.
Ik zal mijn reis naar Schotland uitstellen tot het warmer is. 	 I'll postpone my trip to Scotland until it's warmer.
Ik ben hier nog niet klaar. 	 I'm not done here.
Hoe was je wandeling? 	 How was your walk?
Mijn taak zit erop. 	 My work is done.
Ze koopt boeken in de boekwinkel. 	 She is buying books in the bookstore.
Men moet niet dwingen te leren. Leren moet men aanmoedigen. 	 Learning should not be forced. Learning should be encouraged.
Geef me vijf dagen. 	 Give me five days.
Tom heeft zijn eigen kamer. 	 Tom has his own room.
Ik weet dat Tom nog maar een beginneling is, maar hij is een snelle leerling. 	 I know that Tom is a just beginner, but he's a fast learner.
Dat was nog maar het begin. 	 That was only the beginning.
Vergeet me niet op te pikken om zes uur morgenochtend. 	 Don't forget to pick me up at 6 o'clock tomorrow.
Ik ga iedere dag naar de kerk. 	 I go to church every day.
Er is een park vlakbij mijn huis. 	 There's a park near my house.
Hij wandelt graag in het park. 	 He likes walking in the park.
Tom is niet langer in Australië. 	 Tom is no longer in Australia.
Ze vroeg me of ik haar adres kende. 	 She asked me if I knew her address.
Uiteindelijk is hij van gedachten veranderd. 	 Eventually, he changed his mind.
Hij handelde achter de rug van de directeur. 	 He acted behind the manager's back.
Tom heeft honger en ik ook. 	 Tom is hungry and I am, too.
Het is niet juridisch bindend. 	 It isn't legally binding.
Tom vertelde me dat Maria in Boston was. 	 Tom told me Mary was in Boston.
Zijn dood was een groot verlies voor onze firma. 	 His death was a great loss to our firm.
Tom heeft met Maria geluncht. 	 Tom had lunch with Mary.
Geloof je in het eeuwige leven na de dood? 	 Do you believe in eternal life after death?
Zij zijn onafscheidelijk. 	 They're inseparable.
Hij is gek op sciencefiction. 	 He loves science fiction.
Zij probeerden het vijandelijk front te doorbreken. 	 They attempted to break through the enemy line.
Ik leer Engels. 	 I'm learning English.
Waarom maakt iedereen zich hier zo'n zorgen om? 	 Why is everyone so concerned about this?
Deze tabletten worden in een blisterverpakking aangeboden. 	 These pills come in a blister pack.
Jij bent rijk. 	 You are rich.
Hou daarmee op! 	 Quit it!
Deze appelsienen zijn verrot. 	 These oranges have rotted.
Het is jullie boek. 	 It's your book.
Ik had geen honger dus heb ik niets gegeten. 	 I wasn't hungry, so I didn't eat anything.
Ik zou je nooit kunnen haten. 	 I could never hate you.
Tom durfde niet naar Maria te kijken. 	 Tom didn't dare to look at Mary.
Van de mensen die ik ken ben jij de enige die ooit naar Boston geweest is. 	 You're the only person I know that has ever visited Boston.
Ze kwam teleurgesteld thuis. 	 She came home disappointed.
Wat water, alstublieft. 	 Some water, please.
Het was niet erg goed. 	 It wasn't very good.
Ik wed dat je me gaat vertellen dat je te moe bent om te helpen. 	 I bet you're going to tell me you're too tired to help.
Ik weet dat Tom een verschrikkelijke trainer is. 	 I know that Tom is a terrible coach.
Ik gebruik Facebook niet. 	 I don't use Facebook.
Zijn echte naam is Tom Jackson. 	 His real name is Tom Jackson.
Kom alsjeblieft binnen. 	 Please come inside.
Tom komt waarschijnlijk niet terug. 	 Tom is likely not coming back.
Stel niet uit tot morgen wat je vandaag kunt doen. 	 Don't put off until tomorrow what you can do today.
Bedek de zaden met een beetje aarde. 	 Cover the seeds with a little earth.
Ik ben zo zenuwachtig. 	 I'm so nervous.
Tom haat rauwe uien. 	 Tom hates raw onions.
Tom zei dat Mary geen auto heeft. 	 Tom said Mary didn't have a car.
Tom knipoogde naar Mary. 	 Tom winked at Mary.
Het gebouw is honderd meter hoog. 	 The building is one hundred meters high.
Waar lag hij? 	 Where was it?
Waar ben je afgelopen weekend heengegaan? 	 Where did you go last weekend?
Ik schilder niet graag. 	 I don't like to paint.
Ik ben zwak. 	 I'm weak.
Ik ben niet zeker of ik voldoende tijd heb om mijn kamer op te ruimen vooraleer ik naar school ga. 	 I'm not sure I have enough time to clean my room before I go to school.
Ik zou een eeuwigheid bezig zijn om alles uit te leggen. 	 It would take forever for me to explain everything.
Ze hadden elkaar ooit geholpen. 	 They had once helped each other.
Ik ving drie vissen 	 I caught three fish.
Er is gratis eten. 	 There's free food.
Tom heeft een film gehuurd. 	 Tom rented a movie.
Het is erg moeilijk jezelf te leren kennen. 	 It's very difficult to know yourself.
Tom en Maria zijn tieners. 	 Tom and Mary are teenagers.
Ik hou van astronomie. 	 I love astronomy.
De koffie is klaar. 	 The coffee's ready.
Op welke verdieping woont ge? 	 What floor do you live on?
Er is een niet-roken bord in het restaurant. 	 There's a no-smoking sign inside the restaurant.
Het spijt me dat ik zo laat bel. 	 I'm sorry for calling so late.
Waarom fluistert iedereen? 	 Why's everyone whispering?
Het gaat mij slecht. 	 I'm not well.
Ik wil deelnemen aan het protest. 	 I want to participate in the protest.
Tom gaf Maria een kopje. 	 Tom handed a cup to Mary.
Gefeliciteerd! 	 Congratulations!
Tom keek nerveus. 	 Tom looked nervous.
Probeer niet van onderwerp te veranderen. 	 Don't try to change the subject.
Ik denk niet dat Tom weet dat ik Canadees ben. 	 I don't think that Tom knows I'm Canadian.
De dokter zei dat ik niet te veel moet eten. 	 The doctor told me not to eat too much.
Ik heb ze gezegd dat ze me een nieuw ticket moeten opsturen. 	 I told them to send me another ticket.
Je doet me denken aan mijn vader. 	 You remind me of my father.
Hij werkt harder dan ik toen ik zo oud was. 	 He works harder than I did at his age.
Ik heb me met een mes in mijn vinger gesneden. 	 I cut my finger with a knife.
Ik neem geen enkele verantwoordelijkheid. 	 I don't take any responsibility at all.
Laat het met rust. 	 Leave it alone.
Als het morgen mooi weer is, gaan we picknicken. 	 If the weather is nice tomorrow, we will have a picnic.
De jongen heeft een krant. 	 The boy has a newspaper.
Tom dronk. 	 Tom drank.
Weet je waarom ik hier gekomen ben? 	 Do you know the reason I came here?
Had je al een kans om met Tom te praten? 	 Have you had a chance to talk to Tom yet?
Het bruine paard is snel. 	 The brown horse is fast.
Al mijn broers zijn in de oorlog gestorven. 	 All of my brothers died in the war.
Blijkbaar mag Tom mij niet. 	 Apparently, Tom doesn't like me.
Hij emigreerde naar Australië. 	 He emigrated to Australia.
Ik ben nu verkouden. 	 I have a cold now.
Tom heeft Maria neergeschoten. 	 Tom shot Mary.
Ik maak de regels niet. 	 I don't make the rules.
Ik vraag me af waarom ik me zo eenzaam voel wanneer het koud wordt. 	 I wonder why I feel so lonely when it gets cold.
Misschien zijn ze blij. 	 Maybe they're happy.
Het water is schoon. 	 The water is clean.
Deze tafel is duur. 	 This table is expensive.
We werden dikke vrienden. 	 We became good friends.
Tom is mijn neef. 	 Tom's my cousin.
Roken is hier verboden. 	 Smoking is prohibited here.
Waarom geef je geen antwoord? 	 Why don't you answer?
We hebben het geld niet nodig. 	 We don't need money.
Tom overleed ten gevolge van een gebrek aan zuurstof. 	 Tom died from lack of oxygen.
Ik had niet eens een kaartje ontvangen. 	 I didn't even get a postcard.
Ik hou nog steeds van Maria. 	 I still love Mary.
Hoe laat ben je gisteren naar bed gegaan? 	 What time did you go to sleep yesterday?
Tom heeft geen haar op zijn borst. 	 Tom has no hair on his chest.
We zijn jongens. 	 We're boys.
Tom heeft gelijk. 	 Tom is right.
Kun je een andere taal spreken? 	 Can you speak another language?
Ik ga een camera voor mijn dochter kopen. 	 I'm going to buy a camera for my daughter.
Kreeg je Toms bericht? 	 Did you get Tom's message?
Ze doet niet alleen het huishouden maar geeft ook les op school. 	 Not only does she keep house, but she teaches at school.
Gisteravond was ik liever naar het concert geweest. 	 I'd rather have gone to the concert last night.
Bent u het die dat raport geschreven heeft? 	 Are you the one who wrote that report?
Wat ga je van het weekend doen? 	 What'll you do this weekend?
Wat aardig van u! 	 How nice of you!
Wat doe je meestal op Eerste Kerstdag? 	 What do you usually do on Christmas Day?
Is dat een halsmisdaad? 	 Is that a capital crime?
Ik ging zwemmen in de rivier. 	 I went swimming in the river.
Ik denk dat Tom bang voor je is. 	 I think Tom is afraid of you.
Ik zou nu graag alleen zijn. 	 I'd like to be alone now.
Ik heb mijn buren voor het diner uitgenodigd. 	 I invited my neighbors to dinner.
Als ik later groot ben, wil ik koning worden. 	 When I grow up, I want to be a king.
Dit probleem is heel vervelend. 	 This problem is really annoying.
Ik heb je planning hier liggen. 	 I have your schedule here.
Ik heb wat medicijnen nodig om de pijn te bestrijden. 	 I need some medicine to kill the pain.
Ik zal je over Japan vertellen. 	 I will tell you about Japan.
Wie de schoen past, trekke hem aan. 	 If the shoe fits, wear it.
Iedereen mag van dit woordenboek gebruikmaken. 	 Anyone can use this dictionary.
We hebben een ufo gezien. 	 We saw a flying saucer.
Je bent gestoord. 	 You're nuts.
Het gebeurt niet altijd. 	 It doesn't always happen.
Hij liet me gaan. 	 He let me go.
"Heb je broers of zussen?" "Neen, ik ben enig kind." 	 "Do you have any siblings?" "No, I'm an only child."
Ik heb niet graag eieren. 	 I dislike eggs.
Ik moet mijn fiets laten repareren. 	 I must have my bicycle repaired.
Na de school spelen we dikwijls schaak. 	 We often play chess after school.
Waarom geloofde u me niet? 	 Why didn't you believe me?
Ze heeft ook een goed geheugen. 	 She has a good memory, too.
Welke denk jij dat correct is? 	 Which one do you think is correct?
Vind je het leuk om dieren te zien in de dierentuin? 	 Do you like to see animals at the zoo?
Dat was interessant. 	 That was interesting.
Tom blijft. 	 Tom is staying.
Ik gaf Tom een kalmerend middel. 	 I gave Tom a sedative.
Probeer het rustig aan te doen. 	 Try and take it easy.
Laat me jullie een domme vraag stellen. 	 Let me ask you a stupid question.
Hij is mijn beste vriend. 	 He's my best friend.
Tom is Maria's kleinzoon. 	 Tom is Mary's grandson.
Ik kan me niet permitteren een tweedehandsauto te kopen. 	 I can not afford to buy a used car.
Ik had grote dorst en ik wou iets kouds drinken. 	 I was very thirsty and I wanted to drink something cold.
Het ontbijt is om half tien. 	 Breakfast is at half past nine.
Ik wilde je alleen maar laten weten dat ik dat vandaag niet kan doen. 	 I just wanted to let you know I can't do that today.
De voordeur van het huis was open. 	 The front door of the house was open.
Ik wens je een gelukkig nieuwjaar. 	 I wish you a Happy New Year.
Hij kwam vóór acht uur terug. 	 He came back before eight.
Hij moet ongeveer veertig zijn. 	 He must be about forty.
Ik heb de krant van vandaag nog niet gelezen. 	 I haven't read today's newspaper yet.
Ik heb een vliegtuig gezien. 	 I saw an airplane.
Het is te groot. 	 It's too big.
Is dit jouw kluisje? 	 Is this your locker?
De hele stad weet het. 	 It's the talk of the town.
Ik heb een nieuwe laptop nodig. 	 I need a new laptop.
Hij studeert. 	 He's studying.
De thee is kokend heet. 	 The tea is boiling hot.
Laat mij het uitzoeken. 	 Let me look into it.
Ze ging door met werken. 	 She went on working.
Ik ga gewoonlijk om vier uur naar huis. 	 I usually go home at four.
Ik ben er trots op deel uit te maken van dit project. 	 I am proud to be a part of this project.
Ik ben doodsbang voor kwallen. 	 I'm terrified of jellyfish.
Heb je een brandverzekering? 	 Do you have fire insurance?
Mijn voornemen voor het nieuwe jaar is om ocarina te leren spelen. 	 My New Year's resolution is to learn how to play the ocarina.
Ik ergerde mij aan de jongen, omdat hij lui was. 	 I was annoyed with the boy for being lazy.
Na het eten studeerde ze Japans. 	 She studied Japanese after dinner.
Ik wou jullie gewoon enkele vragen stellen. 	 I just wanted to ask you a few questions.
Je koffers staan daar. 	 Your suitcases are over there.
Wilt ge mij een plezier doen? Leent ge mij een beetje geld? 	 Could you do me a favor? Will you lend me some money?
Tom zei dat hij klaar was. 	 Tom said that he was done.
Het is veel te gevaarlijk. 	 It's far too dangerous.
Eerst denken, dan zeggen. 	 Think before you speak.
Ik heb een schroevendraaier nodig. 	 I need a screwdriver.
Ik weet dat hier een grote kerk stond. 	 I know there was a big church here.
Wat is de relatie tussen politiek en oorlog? 	 What's the relationship between politics and war?
Wanneer kun je mij het resultaat laten weten? 	 When can you let me know the result?
Een vriend heeft me dat boek geleend. 	 A friend lent me that book.
Dit boek is een detective. 	 This book is a whodunit.
Kunnen we daar vissen? 	 Can we fish there?
We vragen ons af waarom. 	 We wonder why.
Vroeger hield ze een dagboek bij, maar nu niet meer. 	 She used to keep a diary, but she no longer does.
Ze heeft gister haar Engelse uitspraak geoefend. 	 She practiced her English pronunciation yesterday.
Tom zei dat hij niet wist waarom Mary hem niet mocht. 	 Tom said he didn't know why Mary didn't like him.
Tom is niet goed. 	 Tom is no good.
Een robot kan meer werken dan een man. 	 A robot can do more work than a man can.
Proef deze koek eens. 	 Try this cake.
Dat land heeft natuurlijke hulpbronnen. 	 That country has natural resources.
Wat vond je van Toms toespraak? 	 What did you think of Tom's speech?
Bedankt voor het helpen. 	 Thank you for the help.
Ook ik ben zeventien. 	 I am seventeen years old, too.
Zei je iets? 	 Did you say something?
Waarom hebben jullie de bank rood geschilderd? 	 Why did you paint the bench red?
Dat is een veelvoorkomende fout. 	 This is a common error.
Kunt u Frans spreken? 	 Can you speak French?
Ze is net twaalf jaar oud geworden. 	 She has just turned twelve.
Ik ben het ruziën moe. 	 I'm tired of arguing.
Tom was aanwezig op de begrafenis van Mary. 	 Tom attended Mary's funeral.
Mag ik je om een gunst vragen? 	 Could I ask a favor of you?
Hier waren we goed in. 	 We used to be good at this.
Het is spijtig om dat te horen. 	 I'm sorry to hear it.
Ik heb uw boek gelezen. 	 I read your book.
Tom zei dat hij naar bed moest. 	 Tom said that he needed to go to bed.
In Boston sneeuwt het nu. 	 It's snowing now in Boston.
Er staan veel woorden die ik niet begrijp. 	 There are many words that I don't understand.
Woon je in de buurt? 	 Do you live near here?
We hebben morgen een tentamen. 	 We have a test tomorrow.
Tom zag een slang over het pad kronkelen. 	 Tom saw a snake slither across the path.
Tom kon het niet geloven dat Maria hem echt leuk vond. 	 Tom couldn't believe that Mary actually liked him.
Houden jullie van volksmuziek? 	 Do you like folk music?
Hij kwam 's ochtends vroeg. 	 He came early in the morning.
Waar was jij de nacht dat Tom vermoord is? 	 Where were you on the night Tom was murdered?
Hij heeft veel meer geld dan ik. 	 He has a lot more money than I have.
Je kan geen honger hebben. Je hebt net je avondeten gehad. 	 You can't be hungry. You've just had dinner.
Ik kan niet antwoorden op die vraag. 	 I can't answer that question.
Tom moet voorzichtiger zijn. 	 Tom needs to be more careful.
Het was een zeer moeilijk verhaal om te schrijven. 	 It was a very difficult story to write.
Mag ik je vragen wie je bent? 	 May I ask who you are?
Wat een dag! 	 What a day!
Tom komt nooit op tijd. 	 Tom never arrives on time.
Ik vermijd het liever. 	 I'd rather avoid it.
Je moet dit doen. 	 You have to do this.
Staat je school in deze stad? 	 Is your school in this town?
Bloed is rood. 	 Blood is red.
Ik ben klaar. 	 I'm done.
Ik vond dat gênant. 	 I found that embarrassing.
Hij heeft je nodig. 	 He needs you.
Tom zal gehoorzamen. 	 Tom will obey.
Bak me een ei. 	 Fry me an egg.
Is dat de waarheid, Tom? 	 Is that the truth, Tom?
Tom is een slim ventje. 	 Tom is a clever kid.
Slechts zestien procent van de leraren van deze school is vrouwelijk. 	 Only 16 percent of the teachers of this school are female.
De rekening alsjeblieft. 	 The check, please.
Tom zei dat Mary hem had verteld dat ze gereed was om dat te doen. 	 Tom said that Mary told him that she was ready to do that.
Tom had geluk. 	 Tom was lucky.
Zij kunnen het doen. 	 They can do it.
Zoek een lege fles en vul hem met water. 	 Find an empty bottle and fill it with water.
Weet jij wat dat betekent? 	 Do you understand what that means?
Deze vogel kan niet vliegen. 	 This bird can't fly.
Misschien hebben we geluk. 	 Maybe we'll get lucky.
Tom stelde Maria teleur. 	 Tom disappointed Mary.
Niemand op de wereld wil oorlog. 	 Nobody in the world wants war.
Je maakte een juiste beslissing. 	 You made a good decision.
Ik heb nooit van je gehouden. 	 I never loved you.
Ik moet de koeien gaan melken. 	 I need to go milk the cows.
Onze vriend is als tweede geëindigd in de race. 	 Our friend finished the race in second place.
Tom opende een biertje. 	 Tom opened a beer.
Tom gaf ons veel te eten. 	 Tom gave us lots to eat.
Tom vertrekt heel vroeg. 	 Tom is very early.
Het is vertrouwelijk. 	 It's confidential.
Het is hierbinnen niet licht genoeg om te lezen. 	 It's not light enough in here to read.
Als het lijkt op een appel en het smaakt naar een appel, dan is het waarschijnlijk een appel. 	 If it looks like an apple and it tastes like an apple, it's probably an apple.
Wij zullen je bezoeken. 	 We'll visit you.
Wat zijn jullie van plan te doen? 	 What do you intend to do?
Tom hoestte opnieuw. 	 Tom coughed again.
De deur gaat niet open. 	 The door won't open.
Hij heeft veel geld. 	 He has a lot of money.
Het is ons gelukt tot elkaar door te dringen. 	 We managed to get through to each other.
Laat ons werken. 	 Let's work.
Als Tom u dat zag doen, zou hij beginnen te wenen. 	 If Tom saw you doing that, he'd cry.
Tom leest nauwelijks tijdschriften. 	 Tom rarely reads magazines.
Wilt u nog een stuk gebak? 	 How about another piece of cake?
Ze zijn niet mijn echte ouders. 	 They aren't my real parents.
We hebben vandaag veel gele vlinders gezien. 	 We saw a lot of yellow butterflies today.
Leg je potloden neer. 	 Put down your pencils.
Laat mij uw bloeddruk meten. 	 Let me take your blood pressure.
Hij is erg verlegen. 	 He's very timid.
Het was ongelooflijk gevaarlijk. 	 It was incredibly dangerous.
We huurden het appartement. 	 We rented the apartment.
We zouden dat meer moeten doen. 	 We should do this more often.
Je zou een goede diplomaat zijn. 	 You would make a good diplomat.
Het is mijn droom naar Japan te gaan. 	 My dream is to go to Japan.
Misschien was dat fout. 	 Maybe that was wrong.
Maar ik wil niet. 	 But I don't want to.
Ik kan goede verhalen schrijven als ik daar zin in heb. 	 I can write good stories when I feel like it.
Ze hebben de plakkaten dadelijk van de muur gehaald. 	 The posters were immediately removed from the wall.
Hij is in gevaar. 	 He's in danger.
Iedereen kent de wet. 	 Everyone knows the law.
We kunnen niet doorgaan dit te doen. 	 We can't continue doing this.
Hij was heel zenuwachtig. 	 He was very nervous.
Ik bloed erg veel. 	 I'm bleeding badly.
Wie heeft dat apparaat uitgevonden? 	 Who invented this machine?
Neem dit medicijn na elke maaltijd. 	 Take this medicine after each meal.
Vijf plus twee is zeven. 	 Five plus two equals seven.
Ik heb opgemerkt dat je jouw avondeten niet hebt opgegeten. 	 I noticed you didn't finish your dinner.
Ik sta erop dat u aanwezig bent. 	 I insist on your being present.
Tom is een typisch Canadese man. 	 Tom is a typical Canadian.
Tom liep met Mary naar de poort. 	 Tom walked Mary to the gate.
Waarom heb je een schildpad gekocht? 	 Why did you buy a turtle?
Ik blijf hier niet lang. 	 I won't stay here for long.
Hij is niet zo'n goed schrijver, en ik denk dat hij het weet. 	 He's not such a great writer and I think he knows it.
Kun jij me alsjeblieft helpen? 	 Can you help me, please?
Ik heb niemand die mij helpt. 	 I have no one to help me.
Hij stond vroeg op zodat hij op tijd was voor de trein. 	 He got up early so he'd be in time for the train.
Engels is eenvoudig te leren. 	 English is easy to learn.
Ik ben niet echt zo godsdienstig. 	 I'm not that religious.
Hij is onbetwistbaar de oudste man in het dorp. 	 He is unquestionably the oldest man in the village.
Tom brengt veel tijd door met het spelen van American football. 	 Tom spends a lot of time playing football.
Ik spreek elke dag Frans op mijn werk. 	 I speak French every day at work.
Tom kocht kip. 	 Tom bought chicken.
Wij hebben honger. 	 We are hungry.
Iedereen zou dat moeten weten. 	 Everyone should know this.
Het water van deze rivier is heel zuiver. 	 The water in this river is very clean.
Ik maak de keuken schoon. 	 I'm cleaning the kitchen.
Een mooie zonsondergang, niet? 	 A beautiful sunset, isn't it?
Tom is geen engel. 	 Tom is no angel.
Ik wenste dat ik rijk was. 	 I wish I were rich.
Ik heb je alles verteld. 	 I've told you everything.
Fijne vakantie. 	 Happy holidays.
Praag is de hoofdstad van Tsjechië. 	 Prague is the capital of the Czech Republic.
Tom staarde naar het eten op Maria haar bord. 	 Tom stared at the food on Mary's plate.
Tom vroeg Mary of zij wist wanneer John geacht werd er te zijn. 	 Tom asked Mary if she knew when John was supposed to be there.
Wat ben je van plan om te doen? 	 What do you plan to do?
Hij woont buiten de stad. 	 He lives outside the city.
Ben je verrast? 	 Are you surprised?
Mijn dochter gaat in juni trouwen. 	 My daughter is getting married in June.
Deze film is het zien waard. 	 This movie is worth watching.
Tom is uitgeput. 	 Tom is exhausted.
Ik kan me niet herinneren dat gedaan te hebben. 	 I can't remember doing that.
Ik ben een jodelaar. 	 I'm a yodeler.
Zijn verhaal is vreemd, maar geloofwaardig. 	 His story is strange, but it's believable.
U bent te nerveus. 	 You're too nervous.
Ik weet niet wat er in de doos zit. 	 I don't know the contents of the box.
Waarom is er geen warm water? 	 Why is there no hot water?
Als we hier stoppen, moeten we helemaal opnieuw van nul beginnen! 	 If we stop here, we'll be right back where we started!
Tom houdt niet van Chinees eten. 	 Tom doesn't like Chinese food.
De muren waren lichtbruin geverfd. 	 The walls were painted light brown.
Allen waren aanwezig. 	 All were present.
Waar woont je grootvader? 	 Where does your grandfather live?
Dat klonk goed. 	 That sounded good.
Ik ben in slaap gevallen voor het einde van de film. 	 I fell asleep before the end of the movie.
Nu en dan kijk ik tv. 	 I sometimes watch TV.
Zingen is haar sterkste punt. 	 Singing is her strong point.
Zal hun huwelijk werken? 	 Will their marriage work?
Tom trouwt volgende maand. 	 Tom is getting married next month.
We zijn hier klaar. 	 We're done here.
Ik maakte thee. 	 I made tea.
Tom zei nooit wat ik moest doen. 	 Tom never told me what to do.
Tom tekent goed. 	 Tom draws well.
Ik liep weg uit het oefenkamp. 	 I ran away from the training camp.
Waarom is skiën zo erg leuk? 	 Why is skiing so much fun?
Ze rende naar hem toe. 	 She ran up to him.
Het is een stomme regel. 	 It's a stupid rule.
Laten wij tien minuten pauze nemen. 	 Let's take a ten-minute break.
Het is nog niet voorbij. 	 It's not over yet.
Ik ging akkoord. 	 I agreed.
Tom wilde huilen. 	 Tom wanted to cry.
Ik heb een bezem nodig. 	 I need a broom.
Hoe erg zijn Toms verwondingen? 	 How badly is Tom hurt?
Ik vind haar vriendelijk. 	 I think she is kind.
Dit idee is nooit in mijn hoofd gekomen. 	 The idea never came into my head.
Is dat pindakaas? 	 Is that peanut butter?
Ga weg! 	 Get away!
Zijn je schoenen nieuw? 	 Are your shoes new?
Wat wil je voor het avondeten? 	 What would you like for supper?
Is het duidelijk? 	 Is it clear?
Ik ga een bad nemen. 	 I'm going to take a bath.
Prettig weekend! 	 Have a nice weekend.
Blijf kalm. 	 Stay calm.
Tom omhelsde Maria. 	 Tom hugged Mary.
Ze heeft mijn aanbod afgeslagen. 	 She turned down my offer.
Denk je echt dat ik er wat mee te maken had? 	 Do you really think I had something to do with that?
Tom rijdt veel sneller dan Mary. 	 Tom drives much faster than Mary drives.
Ik herinner mij de naam van die man heel goed. 	 I remember that man's name very well.
Ik weet dat Tom allergisch is voor pinda's. 	 I know Tom is allergic to peanuts.
Hoe gaat het? 	 How are things?
Dat is het moeilijke deel. 	 This is the difficult part.
Weet u dat zeker? 	 Are you positive?
Tom deed het boek dicht en deed de lamp uit. 	 Tom shut the book and turned off the lamp.
Niet alle boeken op tafel zijn van mij. 	 Not every book on the desk belongs to me.
Tom draaide zich om om te zien of iemand hem volgde. 	 Tom turned around to see if anyone was following him.
Niemand mag vertrekken zonder toestemming. 	 No one is to leave without permission.
Ik ga naar school met Tom. 	 I go to school with Tom.
Ik ben over een half uur terug. 	 I'll be back in half an hour.
Dit is heerlijke spaghetti, nietwaar? 	 This is delicious spaghetti, isn't it?
Laat Tom dat niet lezen. 	 Don't let Tom read this.
Ik vermoed dat alleen maar. 	 I'm just guessing.
Het eerste wat je zou moeten doen is een advocaat bellen. 	 The first thing you should do is call a lawyer.
Heb ik iets gemist? 	 Did I miss something?
Als je blauw en rood mengt, krijg je paars. 	 If you mix blue and red, you'll get purple.
Tom heeft Mary gezegd dat hij bezig was. 	 Tom told Mary he was busy.
Fantastisch! 	 Awesome!
Hou je van wijn? 	 Do you like wine?
Pak maar wat je wilt. 	 Take what you want.
Drinken jouw kinderen melk? 	 Do your children drink milk?
Hij is een nerd. 	 He's a nerd.
Hij verliet de Mexicaanse hoofdstad om terug te keren naar Texas. 	 He left the Mexican capital to return to Texas.
Ik zal het toestaan. 	 I'll allow it.
Ik heb wat papier nodig. 	 I need some paper.
Ik zou graag een klacht indienen. 	 I would lodge a complaint.
Mijn zusje speelt met poppen. 	 My sister plays with dolls.
Ze heeft haar voet bezeerd toen ze van haar fiets viel. 	 She hurt her foot when she fell off her bicycle.
Ik wil een tweede poging wagen. 	 I want to try again.
Ik denk erover na om naar Australië te gaan. 	 I'm thinking of going to Australia.
Verkoopt u wekkers? 	 Do you sell alarm clocks?
Tom heeft aangeboden Mary naar huis te rijden. 	 Tom has volunteered to drive Mary home.
Ironisch, nietwaar? 	 Ironic, isn't it?
Het is Kerstmis. 	 It's Christmas.
Vergeet de melk niet. 	 Don't forget the milk.
Ik hou van Ierse muziek. 	 I love Irish music.
Tom is een wapenbezitter. 	 Tom is a gun owner.
Het is een heel dure smartphone. 	 It's a very expensive smartphone.
Ik ben machteloos. 	 I'm powerless.
Zo'n leven kan ik me niet voorstellen. 	 I can't imagine such a life.
Ik drink melk. 	 I'm drinking milk.
Ik werd erg ziek. 	 I became very ill.
Hij komt uit Genève. 	 He comes from Geneva.
Schildpadden hebben geen tanden. 	 Turtles don't have teeth.
Dit is een foto van een vliegveld. 	 This is a picture of an airport.
Waarom gebeurde dit? 	 Why has this happened?
Ik wil graag aerobics proberen. 	 I'd like to try aerobics.
Hij gaf anderen de schuld voor zijn eigen falen. 	 He blamed others for his own failure.
Zijn jullie vanavond vrij? 	 Are you free tonight?
Ik had een nicht die in Boston woonde. 	 I had a cousin who lived in Boston.
Tom houdt erg van dieren. 	 Tom really loves animals.
Tom belde zijn moeder om haar te laten weten dat hij niet op tijd thuis zou zijn voor het avondeten. 	 Tom called his mother to let her know he wouldn't be home in time for dinner.
Heeft u erover nagedacht? 	 Have you thought about it?
Ik wacht op bus nummer 13. 	 I'm waiting for the number thirteen bus.
Belt u me alstublieft op wanneer u besloten heeft wat u gaat doen. 	 Please call me when you have decided what you would like to do.
Tom had een geweer. 	 Tom had a gun.
U bent werkelijk egoïstisch. 	 You're really selfish.
Ge valt in mijn smaak. 	 I like you.
Ik ben om half drie terug. 	 I'll be back at 2:30.
Ik heb een gloednieuw paar sokken. 	 I have a brand new pair of socks.
Voor welk voedsel ben je allergisch? 	 What foods are you allergic to?
Ik kan deze theorie niet aanvaarden. 	 I can't accept this theory.
